Status
Obersaxen
Chermignon
Andermatt
Guarda
Etoy
Bischofszell
Gündlischwand
Granges-Paccot
Rorschach
Gunten
Cavigliano
Rheinau
Utzenstorf
Seelisberg
Le Châble VS
Gstaad
La Sarraz
S. Bernardino
Schönenwerd
Urdorf
Eigenthal
Alpthal
Birrwil
Wichtrach
Orbe
Weinfelden
Cham
Les Marécottes
Täsch
Chiasso
Suhr
Leysin
Locarno
Thalwil
Monthey
Matt
Widnau
Bevaix
Bäriswil BE
Brail
Magadino
Chéserex
Enges
Tramelan
Lütisburg
Bubendorf
Vuarrens
Visp
Chavannes-de-Bogis
Trasadingen
Le Brassus
Schwarzsee
Lully FR
St. Niklausen LU
Dornach
Zeneggen
Gandria
Albinen
Erlen
Goldingen
Vernier
Wagenhausen
Chur
Lugano
Evionnaz
Zürich-Flughafen
Forch
St-Maurice
Ramsen
Aarwangen
Sirnach
Veytaux
Weggis
Rorschacherberg
Wilen (Sarnen)
Pfäfers
Genève
S. Nazzaro
Münchenstein
Dürrenroth
La Ferrière
Trubschachen
Silvaplana
Champfèr
Grub AR
St. Stephan
Unterbäch VS
Herisau
Mammern
Regensdorf
Rheinfelden
Tschiertschen
Rothwald
Birmenstorf AG
Riva San Vitale
Bellinzona
Emmetten
Gluringen
Ilanz
Tarasp
Triesenberg
Le Sentier
Kippel
Romanshorn
Ponte Tresa
Cima di Porlezza
Andeer
Melchsee-Frutt
Tägerwilen
Flawil
Romont FR
Pfäffikon SZ
Fully
Waltalingen
Sufers
Fideris
St. Antönien
Spiez
Stäfa
Sent
Binningen
Lonay
Urnäsch
Goldach
Flumserberg Tannenbodenalp
Rougemont
Busswil b. Büren
Laax GR
Werthenstein
Gruyères
Wangen an der Aare
Les Crosets
Cinuos-chel
Vich
Bubikon
Maloja
Davos Wolfgang
Broc
Rüschlikon
Liddes
Mezzovico
Grüsch
Eichberg
Fehraltorf
Kriens
Evolène
Brusio
Davos Platz
Neyruz FR
Altstätten SG
Salgesch
Oberems
Langnau am Albis
Liebefeld
Meilen
Steinach
Uzwil
Valchava
Degersheim
Trüllikon
Disentis/Mustér
Sils/Segl Baselgia
Erlinsbach
Haag (Rheintal)
Mulegns
La Chaux-de-Fonds
Pont-la-Ville
L'Auberson
Ollon VD
Blitzingen
Torgon
Flims Waldhaus
L'Isle
Hurden
Yverdon-les-Bains
Morschach
Interlaken
Les Paccots
Wald ZH
Goldswil b. Interlaken
Fahrweid
Cevio
Bodio TI
Campo (Vallemaggia)
Mannenbach-Salenstein
Verbier
Emmenbrücke
Romanel-sur-Lausanne
Cresta (Avers)
Promontogno
Ebnat-Kappel
Reconvilier
Grenchen
Niederried b. Interlaken
Melide
Eglisau
Engelberg
Schaffhausen
Langendorf
Bürchen
Oberiberg
Wolfhausen
Horboden
Uetliberg
Oberbipp
Faulensee
Wald AR
Leuk Stadt
Ftan
Haute-Nendaz
Churwalden
Brügg BE
Neuenhof
Turbenthal
Laufen
Dettighofen
Münchwilen TG
Sörenberg
Wynigen
Cointrin
Flüelen
Martigny-Croix
Grächen
Mols
Klosters Dorf
Hunzenschwil
Fislisbach
L'Abbaye
Walchwil
Samnaun-Compatsch
Vicosoprano
Thun
Gadmen
Schwyz
Les Brenets
Rehetobel
Fribourg
Realp
Schwenden im Diemtigtal
Hildisrieden
Schwarzenburg
Ausserbinn
Schiers
Schlatt TG
Oberkirch LU
Tiefencastel
Entlebuch
St-Gingolph
Lauerz
Belalp
Villars-sur-Glâne
Rolle
Menzingen
Dully
Iseltwald
Valbella
Ranflüh
Cademario
Flühli LU
Uvrier
Wasen im Emmental
Wassen UR
Untervaz Bahnhof
Sumiswald
Davos Glaris
Grand-Lancy
Onnens VD
Moudon
St. Peterzell
Wittnau
Allschwil
Filzbach
Brienz BE
Lachen SZ
Klosters
Wallisellen
Brusino Arsizio
Unterägeri
Saignelégier
Kriegstetten
Weissbad
Bassersdorf
Hermance
Sessa
Rombach
Langenthal
Fex
Meyrin
Petit-Lancy
Trin
Asp
Hérémence
Gerra (Gambarogno)
Magliaso
Attalens
Bonaduz
Zizers
Innertkirchen
Burgdorf
Düdingen
Maienfeld
Courgenay
Riederalp
Kiental
Flims Dorf
Zuzwil SG
Vers-l'Eglise
Mont-Crosin
Corsier-sur-Vevey
Schattdorf
Triengen
La Tour-de-Peilz
Sonceboz-Sombeval
Parpan
Saas-Fee
Brig
Emmen
Walkringen
Mathon
Beinwil am See
Kastanienbaum
Langnau im Emmental
Sils/Segl Maria
Bönigen b. Interlaken
Binn
Worb
Mont-Soleil
Bern
Luzern
Sursee
Zwischenflüh
Sedrun
Brione sopra Minusio
Arnegg
Aigle
Riehen
Kaiseraugst
Wölflinswil
Vernayaz
Oberterzen
Poschiavo
Madulain
Heimenschwand
Neuchâtel 1
Vaulruz
Heiden
Münchenwiler
Grandvaux
Brugg AG
Vogorno
Buttes
Niederrickenbach
Plaffeien
Savognin
Beckenried
Unterterzen
Küblis
Wimmis
Mörigen
Muralto
Intragna
Niederuzwil
Baar
Lucelle
Hofstetten b. Brienz
Bever
Schaan
La Chaux-du-Milieu
Ballaigues
Neftenbach
Benken ZH
Unteriberg
Lugano-Paradiso
Piotta
Malters
Eschenz
Sissach
Nyon
Wattwil
Zernez
Maggia
Zürich
Glattbrugg
Tschierv
Höri
Erschmatt
Erlach
Schindellegi
Feusisberg
Le Mont-Pèlerin
Avry-devant-Pont
Rüti b. Riggisberg
Avenches
Hilterfingen
Leissigen
Beatenberg
Habkern
Küssnacht am Rigi
Islikon
Buchrain
Herzogenbuchsee
Lausanne
Leuzigen
Sementina
Safien Platz
Miralago
Münchenbuchsee
Champex-Lac
Müstair
Saanen
Nottwil
Morges
Jongny
Eich
Zofingen
Lungern
Surava
Monte Carasso
Twann
La Comballaz
Choëx
Lavertezzo
Sachseln
Filisur
Praz (Vully)
Zäziwil
Schinznach Dorf
Frutigen
Bennau
Miglieglia
Miécourt
Roggenburg
Cortaillod
Leukerbad
Porto Ronco
Härkingen
Vira (Gambarogno)
Balzers
Auressio
Schüpfheim
Versam
Seewen SZ
Campione d'Italia
Lucens
Egerkingen
Litzirüti
Lenk im Simmental
Ittigen
Capolago
Aeschlen ob Gunten
Nussbaumen AG
Hölstein
Fischingen
Amsteg
Le Mont-sur-Lausanne
Boncourt
Klöntal
Sta. Maria Val Müstair
Tenero
Vevey
Oberried am Brienzersee
Mörel
Elgg
Rickenbach b. Schwyz
Linthal
Gsteig b. Gstaad
Wetzikon ZH
Wengen
Lenzburg
Unterschächen
Unterwasser
Stels
Gryon
Dagmersellen
Gorgier
Sfazù
Trient
Alle
Sax
Läufelfingen
Aadorf
Savigny
Vulpera
Savosa
Le Grand-Saconnex
Krattigen
Altdorf UR
Les Verrières
Fidaz
Brissago
Caslano
Dottikon
Pontresina
Payerne
Bürglen TG
Schwarzenberg LU
Les Giettes
Appenzell Eggerstanden
Sargans
Courchavon
Sugiez
Studen BE
Merligen
Orsières
Cavagnago
Bussigny-près-Lausanne
Tegna
Aarau
Montricher
Siblingen
Feldis/Veulden
Reinach BL
Widen
Muri AG
Villmergen
Blatten (Lötschen)
Bignasco
Sempach
Carona
Uetendorf
Morgarten
Bergün/Bravuogn
La Punt-Chamues-ch
Obbürgen
Hasliberg Reuti
Les Haudères
Rheineck
Diepoldsau
Ardez
Zollikofen
Eggiwil
Hasliberg Goldern
Güttingen
Zinal
Buochs
Estavayer-le-Lac
Hirzel
St-Blaise
Matten b. Interlaken
Bremgarten AG
Surcuolm
Eptingen
Gelfingen
Rossinière
Schlossrued
Sulgen
Breno
La Tzoumaz
Schüpfen
Buchs SG
Lavorgo
Schönengrund
Meiringen
Plaun da Lej
Kaiserstuhl AG
Laax GR 2
Brünig
Ermatingen
Einsiedeln
Anzère
Cossonay-Ville
Arolla
Bogis-Bossey
Braunwald
Samnaun Dorf
Flamatt
St-Martin VS
Les Breuleux
Pragg-Jenaz
Lutzenberg
Arlesheim
Gossau SG
Rafz
Ecublens VD
Menzberg
Olten
Horgen
Bex
Fiesch
Vezia
Willisau
Wettingen
Falera
Villars-sur-Ollon
Dietikon
Trin Mulin
Berlingen
Obergösgen
Le Pont
Les Granges (Salvan)
Ipsach
Aarburg
Arcegno
Grimentz
Lavey-Village
Weesen
Davos Dorf
Grindelwald
Sils im Domleschg
Randa
Berikon
Liestal
Rigi Kaltbad
Amriswil
Saas-Grund
Satigny
Gais
Solothurn
Luthern
Egnach
Sins
Zuchwil
Tschappina
Lyss
Aeschi b. Spiez
Kerzers
Neuchâtel
Cully
Corseaux
Vallorbe
Bözen
Saas-Almagell
Steffisburg
Gondo
Pieterlen
Cressier NE
Montreux
Thusis
Lenzerheide/Lai
Villeneuve VD
Zillis
Uster
Porrentruy
Oberentfelden
Bivio
Bellwald
Thörishaus
Vals
Les Collons
Delémont
Leuggern
Speicher
Morgins
Giubiasco
Roveredo TI
Nax
Kemptthal
St-Légier-La Chiésaz
Bad Ragaz
St. Gallen
Sigriswil
Ebikon
Küsnacht ZH
Frauenfeld
Oberwald
Lausanne-Lutry
Schwanden (Sigriswil)
Gland
Glarus
La Neuveville
Obergesteln
Flaach
Bauma
Brislach
Nidau
Menznau
Gordola
Därligen
Appenzell
Visperterminen
Schönried
Flumserberg Tannenheim
St. Moritz
Gondiswil
Rothenburg
Aarau Rohr
Susch
Brigerbad
Kerns
Hünibach
Zweidlen
Basel
Diessenhofen
S-chanf
Biel/Bienne
Cumbel
Carouge GE
Wittenbach
Stalden VS
Ringgenberg BE
Soubey
Bettmeralp
Zuckenriet
Romoos
Vaduz
Marin-Epagnier
Alpnach Dorf
Vella
Arosa
Blonay
Gränichen
Balerna
Bellelay
Hemishofen
Gonten
Fürstenau
Adelboden
Thielle
Davos Frauenkirch
Brunnen
Rapperswil SG
Stettlen
Remigen
Giswil
Frick
Ovronnaz
Isérables
Schlieren
Kloten
Neuhaus SG
Founex
Bütschwil
Versoix
Kappel SO
Scuol
Leytron
Lütschental
Muri b. Bern
Le Pâquier NE
Schwende
Peccia
Ueberstorf
Malans GR
Winterthur
Wangs
Biberist
Flumserberg Saxli
Schwanden GL
Amden
Davos Monstein
Losone
Neuhausen am Rheinfall
Biel-Benken BL
Celerina/Schlarigna
Bissone
Puidoux
Mels
Dübendorf
Weisstannen
Nesslau
Raron
Romainmôtier
Trun
Rivaz
Flumserberg Bergheim
Wigoltingen
Grosshöchstetten
Fuldera
Mönchaltorf
Wangen b. Dübendorf
Wilderswil
Roveredo GR
Chandolin
Lützelflüh-Goldbach
Saxeten
Isenthal
Hospental
Ausserberg
Gimmelwald
Schöftland
Windisch
Seengen
Kappel am Albis
Crissier
Saulcy
Belp
Rivera
Urtenen-Schönbühl
Waltensburg/Vuorz
St-Luc
Glion
Attinghausen
Orselina
Köniz
Castasegna
Agarn
Münster VS
